code,CCS,coding_system
0T780DZ,102,ICDPROC10
0T783DZ,102,ICDPROC10
0T784DZ,102,ICDPROC10
0T787DZ,102,ICDPROC10
0T787ZZ,102,ICDPROC10
0T788ZZ,102,ICDPROC10
0T9600Z,102,ICDPROC10
0T9630Z,102,ICDPROC10
0T9640Z,102,ICDPROC10
0T9670Z,102,ICDPROC10
0T9680Z,102,ICDPROC10
0T9700Z,102,ICDPROC10
0T9730Z,102,ICDPROC10
0T9740Z,102,ICDPROC10
0T9770Z,102,ICDPROC10
0T9780Z,102,ICDPROC10
0T9800Z,102,ICDPROC10
0T9830Z,102,ICDPROC10
0T9840Z,102,ICDPROC10
0T9870Z,102,ICDPROC10
0T9880Z,102,ICDPROC10
0TC00ZZ,103,ICDPROC10
0TC03ZZ,103,ICDPROC10
0TC04ZZ,103,ICDPROC10
0TC07ZZ,103,ICDPROC10
0TC08ZZ,103,ICDPROC10
0TC10ZZ,103,ICDPROC10
0TC13ZZ,103,ICDPROC10
0TC14ZZ,103,ICDPROC10
0TC17ZZ,103,ICDPROC10
0TC18ZZ,103,ICDPROC10
0TC30ZZ,103,ICDPROC10
0TC33ZZ,103,ICDPROC10
0TC34ZZ,103,ICDPROC10
0TC40ZZ,103,ICDPROC10
0TC43ZZ,103,ICDPROC10
0TC44ZZ,103,ICDPROC10
0TB00ZZ,104,ICDPROC10
0TB03ZZ,104,ICDPROC10
0TB04ZZ,104,ICDPROC10
0TB07ZZ,104,ICDPROC10
0TB08ZZ,104,ICDPROC10
0TB10ZZ,104,ICDPROC10
0TB13ZZ,104,ICDPROC10
0TB14ZZ,104,ICDPROC10
0TB17ZZ,104,ICDPROC10
0TB18ZZ,104,ICDPROC10
0TB30ZZ,104,ICDPROC10
0TB33ZZ,104,ICDPROC10
0TB34ZZ,104,ICDPROC10
0TB37ZZ,104,ICDPROC10
0TB38ZZ,104,ICDPROC10
0TB40ZZ,104,ICDPROC10
0TB43ZZ,104,ICDPROC10
0TB44ZZ,104,ICDPROC10
0TB47ZZ,104,ICDPROC10
0TB48ZZ,104,ICDPROC10
0TT00ZZ,104,ICDPROC10
0TT04ZZ,104,ICDPROC10
0TT10ZZ,104,ICDPROC10
0TT14ZZ,104,ICDPROC10
0TT20ZZ,104,ICDPROC10
0TT24ZZ,104,ICDPROC10
0TT30ZZ,104,ICDPROC10
0TT34ZZ,104,ICDPROC10
0TT37ZZ,104,ICDPROC10
0TT38ZZ,104,ICDPROC10
0TT40ZZ,104,ICDPROC10
0TT44ZZ,104,ICDPROC10
0TT47ZZ,104,ICDPROC10
0TT48ZZ,104,ICDPROC10
0TY00Z0,105,ICDPROC10
0TY00Z1,105,ICDPROC10
0TY00Z2,105,ICDPROC10
0TY10Z0,105,ICDPROC10
0TY10Z1,105,ICDPROC10
0TY10Z2,105,ICDPROC10
0TUC07Z,106,ICDPROC10
0TUC0JZ,106,ICDPROC10
0TUC0KZ,106,ICDPROC10
0TUC47Z,106,ICDPROC10
0TUC4JZ,106,ICDPROC10
0TUC4KZ,106,ICDPROC10
0TUC77Z,106,ICDPROC10
0TUC7JZ,106,ICDPROC10
0TUC7KZ,106,ICDPROC10
0TUC87Z,106,ICDPROC10
0TUC8JZ,106,ICDPROC10
0TUC8KZ,106,ICDPROC10
0TF30ZZ,107,ICDPROC10
0TF33ZZ,107,ICDPROC10
0TF34ZZ,107,ICDPROC10
0TF37ZZ,107,ICDPROC10
0TF38ZZ,107,ICDPROC10
0TF3XZZ,107,ICDPROC10
0TF40ZZ,107,ICDPROC10
0TF43ZZ,107,ICDPROC10
0TF44ZZ,107,ICDPROC10
0TF47ZZ,107,ICDPROC10
0TF48ZZ,107,ICDPROC10
0TF4XZZ,107,ICDPROC10
0TF60ZZ,107,ICDPROC10
0TF63ZZ,107,ICDPROC10
0TF64ZZ,107,ICDPROC10
0TF67ZZ,107,ICDPROC10
0TF68ZZ,107,ICDPROC10
0TF6XZZ,107,ICDPROC10
0TF70ZZ,107,ICDPROC10
0TF73ZZ,107,ICDPROC10
0TF74ZZ,107,ICDPROC10
0TF77ZZ,107,ICDPROC10
0TF78ZZ,107,ICDPROC10
0TF7XZZ,107,ICDPROC10
0TFB0ZZ,107,ICDPROC10
0TFB3ZZ,107,ICDPROC10
0TFB4ZZ,107,ICDPROC10
0TFB7ZZ,107,ICDPROC10
0TFB8ZZ,107,ICDPROC10
